iter	Passed	Remaining
0	163	162896
1	166	82876
2	169	56259
3	172	42930
4	175	34913
5	178	29618
6	181	25759
7	184	22912
8	187	20665
9	191	18947
10	194	17449
11	197	16256
12	200	15207
13	202	14294
14	205	13472
15	207	12736
16	209	12108
17	211	11528
18	213	11013
19	215	10554
20	217	10154
21	219	9778
22	222	9430
23	224	9111
24	226	8822
25	228	8552
26	230	8301
27	232	8079
28	234	7861
29	236	7658
30	239	7472
31	241	7291
32	243	7126
33	245	6978
34	248	6844
35	250	6712
36	252	6580
37	255	6455
38	257	6338
39	259	6229
40	261	6124
41	264	6024
42	266	5928
43	268	5836
44	270	5749
45	273	5674
46	276	5598
47	278	5520
48	280	5445
49	282	5373
50	285	5305
51	287	5242
52	290	5182
53	292	5119
54	294	5061
55	296	5004
56	299	4950
57	301	4896
58	304	4849
59	306	4801
60	308	4751
61	310	4705
62	313	4657
63	315	4614
64	317	4572
65	320	4529
66	322	4488
67	324	4450
68	326	4410
69	329	4373
70	332	4344
71	334	4308
72	336	4274
73	339	4243
74	341	4210
75	343	4179
76	346	4151
77	348	4120
78	351	4095
79	353	4067
80	356	4039
81	358	4014
82	360	3984
83	364	3976
84	367	3956
85	370	3933
86	372	3911
87	376	3900
88	378	3878
89	383	3874
90	385	3851
91	388	3834
92	391	3817
93	394	3798
94	396	3778
95	399	3758
96	401	3740
97	404	3724
98	407	3707
99	410	3690
100	412	3673
101	415	3656
102	417	3638
103	420	3622
104	422	3604
105	425	3587
106	428	3572
107	430	3557
108	433	3543
109	436	3528
110	439	3518
111	442	3506
112	444	3492
113	447	3481
114	450	3466
115	452	3450
116	454	3433
117	457	3420
118	460	3406
119	462	3394
120	465	3381
121	468	3369
122	470	3357
123	473	3345
124	475	3331
125	478	3319
126	480	3303
127	483	3292
128	486	3282
129	488	3270
130	491	3260
131	494	3248
132	496	3238
133	499	3225
134	501	3214
135	504	3202
136	506	3192
137	509	3182
138	512	3171
139	514	3158
140	516	3146
141	518	3131
142	520	3120
143	523	3110
144	525	3101
145	528	3092
146	531	3081
147	533	3071
148	536	3062
149	539	3057
150	542	3048
151	544	3039
152	547	3029
153	550	3021
154	552	3012
155	554	3001
156	557	2991
157	559	2981
158	561	2971
159	564	2964
160	566	2951
161	568	2943
162	571	2934
163	574	2926
164	576	2918
165	579	2910
166	581	2901
167	583	2892
168	586	2883
169	588	2874
170	591	2866
171	593	2858
172	596	2849
173	598	2842
174	601	2834
175	603	2826
176	606	2820
177	609	2812
178	611	2804
179	613	2796
180	616	2790
181	619	2784
182	622	2779
183	625	2772
184	627	2765
185	630	2758
186	632	2751
187	635	2743
188	637	2736
189	640	2728
190	642	2721
191	645	2715
192	647	2706
193	649	2699
194	652	2692
195	654	2686
196	657	2679
197	660	2674
198	662	2668
199	665	2662
200	668	2655
201	670	2650
202	673	2644
203	676	2639
204	679	2634
205	682	2630
206	685	2625
207	688	2621
208	690	2613
209	693	2607
210	695	2601
211	698	2595
212	700	2589
213	702	2581
214	705	2574
215	707	2567
216	710	2562
217	712	2555
218	714	2548
219	717	2542
220	719	2535
221	721	2530
222	724	2523
223	726	2517
224	728	2510
225	731	2503
226	733	2497
227	735	2490
228	737	2484
229	740	2478
230	742	2472
231	745	2466
232	747	2460
233	749	2453
234	752	2448
235	754	2442
236	756	2436
237	759	2430
238	761	2424
239	763	2418
240	765	2412
241	768	2406
242	770	2401
243	773	2395
244	775	2389
245	777	2383
246	779	2377
247	781	2371
248	784	2367
249	787	2361
250	789	2356
